[2025-10-20T17:38:21.469166+00:00] scheduler starting; DB=/home/keith/PythonProjects/projects/Mixed_Nuts/MyScheduler/myscheduler.db
[2025-10-20T17:38:21.486598+00:00] tick; claimed=[2]
[2025-10-20T17:38:48.440240+00:00] tick; claimed=[]
[2025-10-20T17:39:08.440739+00:00] tick; claimed=[]
[2025-10-20T17:39:28.441225+00:00] tick; claimed=[]
[2025-10-20T17:39:48.441831+00:00] tick; claimed=[]
[2025-10-20T17:40:08.442533+00:00] tick; claimed=[]
[2025-10-20T17:40:28.443207+00:00] tick; claimed=[]
[2025-10-20T17:40:48.443751+00:00] tick; claimed=[]
[2025-10-20T17:41:08.444343+00:00] tick; claimed=[]
[2025-10-20T17:41:28.444957+00:00] tick; claimed=[]
[2025-10-20T17:41:48.445610+00:00] tick; claimed=[]
[2025-10-20T17:42:08.446277+00:00] tick; claimed=[]
[2025-10-20T17:42:28.446887+00:00] tick; claimed=[]
[2025-10-20T17:42:48.447556+00:00] tick; claimed=[]
[2025-10-20T17:43:08.448236+00:00] tick; claimed=[]
[2025-10-20T17:43:28.448850+00:00] tick; claimed=[]
[2025-10-20T17:43:48.449453+00:00] tick; claimed=[]
[2025-10-20T17:44:08.450120+00:00] tick; claimed=[]
[2025-10-20T17:44:28.450429+00:00] tick; claimed=[]
[2025-10-20T17:44:48.450909+00:00] tick; claimed=[]
[2025-10-20T17:45:08.451551+00:00] tick; claimed=[]
[2025-10-20T17:45:28.451950+00:00] tick; claimed=[]
[2025-10-20T17:45:48.452407+00:00] tick; claimed=[]
[2025-10-20T17:46:08.452786+00:00] tick; claimed=[]
[2025-10-20T17:46:28.453373+00:00] tick; claimed=[]
[2025-10-20T17:46:48.453935+00:00] tick; claimed=[]
[2025-10-20T17:47:08.454477+00:00] tick; claimed=[]
[2025-10-20T17:47:28.455123+00:00] tick; claimed=[]
[2025-10-20T17:47:48.455488+00:00] tick; claimed=[]
[2025-10-20T17:48:08.455824+00:00] tick; claimed=[]
[2025-10-20T17:48:28.456173+00:00] tick; claimed=[]
[2025-10-20T17:48:48.456631+00:00] tick; claimed=[]
[2025-10-20T17:49:08.457160+00:00] tick; claimed=[]
[2025-10-20T17:49:28.457759+00:00] tick; claimed=[]
[2025-10-20T17:49:48.458369+00:00] tick; claimed=[]
[2025-10-20T17:50:08.459114+00:00] tick; claimed=[]
[2025-10-20T17:50:28.459678+00:00] tick; claimed=[]
[2025-10-20T17:50:48.460319+00:00] tick; claimed=[]
[2025-10-20T17:51:08.460934+00:00] tick; claimed=[]
[2025-10-20T17:51:28.461324+00:00] tick; claimed=[]
[2025-10-20T17:51:48.461810+00:00] tick; claimed=[]
[2025-10-20T17:52:08.462385+00:00] tick; claimed=[]
[2025-10-20T17:52:28.463059+00:00] tick; claimed=[]
[2025-10-20T17:52:48.463469+00:00] tick; claimed=[]
[2025-10-20T17:53:08.463847+00:00] tick; claimed=[]
[2025-10-20T17:53:28.464419+00:00] tick; claimed=[]
[2025-10-20T17:53:48.465088+00:00] tick; claimed=[]
[2025-10-20T17:54:08.465679+00:00] tick; claimed=[]
[2025-10-20T17:54:28.466231+00:00] tick; claimed=[]
[2025-10-20T17:54:48.466785+00:00] tick; claimed=[]
[2025-10-20T17:55:08.467158+00:00] tick; claimed=[]
[2025-10-20T17:55:28.467704+00:00] tick; claimed=[]
[2025-10-20T17:55:48.468227+00:00] tick; claimed=[]
[2025-10-20T17:56:08.468815+00:00] tick; claimed=[]
[2025-10-20T17:56:28.469353+00:00] tick; claimed=[]
[2025-10-20T17:56:48.469915+00:00] tick; claimed=[]
[2025-10-20T17:57:08.470432+00:00] tick; claimed=[]
[2025-10-20T17:57:28.470922+00:00] tick; claimed=[]
[2025-10-20T17:57:48.471405+00:00] tick; claimed=[]
[2025-10-20T17:58:08.471805+00:00] tick; claimed=[]
[2025-10-20T17:58:28.472465+00:00] tick; claimed=[]
[2025-10-20T17:58:48.473134+00:00] tick; claimed=[]
[2025-10-20T17:59:08.473764+00:00] tick; claimed=[]
